Início da Leitura : Um voo sobre as capitais brasileiras: Região Centro-Oeste
Page : 1 Time : 18/12/2022 15:21:14
Timestamp: 633923037,7686	 X: 571,555693794595 Y:215,422869070729
Timestamp: 633923048,8824	 X: 572,020980324656 Y:215,467973767378
Timestamp: 633923062,5958	 X: 585,892418758147 Y:221,188636459067
Timestamp: 633923070,6532	 X: 588,72175392153 Y:222,5345156485
Timestamp: 633923082,563	 X: 598,261672872037 Y:227,756753841642
Timestamp: 633923094,647	 X: 599,076149715614 Y:228,053364253043
Timestamp: 633923103,9659	 X: 600,704984815318 Y:228,639148022362
Timestamp: 633923116,167	 X: 603,927011777892 Y:228,773054637412
Timestamp: 633923140,7737	 X: 608,043895365315 Y:229,170106223537
Timestamp: 633923149,3884	 X: 609,453242069542 Y:227,155201155607
Timestamp: 633923160,2924	 X: 609,317608343604 Y:226,189412363683
Timestamp: 633923170,4963	 X: 609,901322743996 Y:223,249164318521
Timestamp: 633923182,7827	 X: 609,290000242165 Y:224,259340882307
Timestamp: 633923193,2699	 X: 609,540507014143 Y:222,69877654239
Timestamp: 633923204,4505	 X: 608,672491037295 Y:222,669220905928
Timestamp: 633923215,9728	 X: 605,548839755745 Y:224,107819480073
Timestamp: 633923226,9704	 X: 599,437388604115 Y:226,846276889563
Timestamp: 633923251,4423	 X: 596,442638020457 Y:227,364667007018
Timestamp: 633923260,4534	 X: 597,976987806591 Y:221,661019187906
Timestamp: 633923270,9939	 X: 566,396708499154 Y:190,520211591049
Timestamp: 633923283,4164	 X: 547,10105073097 Y:172,285668692263
Timestamp: 633923293,551	 X: 531,746751671012 Y:156,407700711024
Timestamp: 633923304,2565	 X: 519,163456998182 Y:144,864507892668
Timestamp: 633923330,1156	 X: 507,052177394732 Y:133,453525434973
Timestamp: 633923337,0761	 X: 469,008312029648 Y:98,9664957004466
Timestamp: 633923349,1462	 X: 469,168057394101 Y:98,0321802266031
Timestamp: 633923360,277	 X: 467,784138928289 Y:97,0288239580536
Timestamp: 633923376,0783	 X: 468,156397541206 Y:97,2788490993527
Timestamp: 633923382,5155	 X: 468,369894107153 Y:96,9283660484638
Timestamp: 633923407,1218	 X: 468,576184215796 Y:97,1486992059845
Timestamp: 633923416,0095	 X: 468,259208800098 Y:95,8868718840178
Timestamp: 633923426,9224	 X: 468,383980339237 Y:96,7806653176054
Timestamp: 633923439,0991	 X: 468,361087798557 Y:96,6855686699081
Timestamp: 633923449,1217	 X: 468,398306411401 Y:97,983450142356
Timestamp: 633923460,2534	 X: 469,652688530408 Y:99,90232599666
Timestamp: 633923470,6255	 X: 469,410717372269 Y:99,6919660769377
Timestamp: 633923486,0852	 X: 469,736203131446 Y:100,199038135446
Timestamp: 633923493,5131	 X: 470,080528766754 Y:100,26868103016
Timestamp: 633923504,3119	 X: 470,066655287013 Y:100,19222736179
